tag,lb,0000,0001,0002,0003,0004,0005,0006,0007
fix-test-case,-,448259,477424,468341,455978,453997,399122,423286,181133
sub11-bs-16,-,454497,462721,463860,456576,451673,399122,423286,165230
sub11-bs-32,-,442499,455885,433196,451954,451256,399291,437300,215901
alpha-06,-,435268,470129,450959,439980,443937,387341,431709,332677
alpha-09,-,450396,453847,451525,454098,446829,396336,433132,198914
1bf6254,-,450396,453847,451525,454098,446593,396640,432478,198914
sub13,38943566,472119,461863,459234,451080,441015,397198,433017,196400
sub14,38932363,471335,453295,453205,454650,444978,398574,432247,243131
sub15,39123992,463976,466061,448818,453899,447324,397808,433036,355766
sub15-bs-16,39202205,441580,474063,475202,455048,450358,406756,431212,381548
sub16,39202205,460893,462233,469599,451283,452530,407308,428513,397715
sub17,39175517,467860,459326,472551,449711,451461,399341,424633,407724
sub18,39147882,453313,468032,477420,453436,451012,409476,433683,403440
sub19,39692750,465512,474063,482809,453338,460361,410474,431212,383996
sub20,39952153,465512,474063,482809,453338,460361,410474,436868,383996
sub21,40040799,465512,474063,482809,453338,460361,413096,435850,383996
sub22,40035781,465512,468175,485240,459098,463808,416586,436319,401582
sub23,40038468,465037,467721,485152,458839,463454,419171,436868,392574
sub24,40054058,465037,467721,485152,458839,463454,419171,436868,402175
sub25,40054255,465037,467721,485152,458839,463278,420875,436868,402175
sub27,37916550,465512,468151,485860,459098,464516,417874,437104,401582
sub28-wo-est,40054243,465037,474063,482358,453457,463468,419225,435382,389321
sub29,-,465037,474063,482358,453457,463468,419225,435382,389321
sub30,40061015,465512,475027,482809,458788,464172,409867,435655,383996
sub31,-,465512,475027,482809,458788,464172,409867,435655,383996
sub32,40093420,465512,475027,482799,456884,464419,416761,435694,383996
sub32-bs-32,-,445448,466655,457117,460539,467011,402964,435430,361108
sub33,40100723,467860,475027,482929,456884,464419,415989,435694,387973
sub33-mbs-4,-,467860,459326,478023,456512,458454,412171,427915,392871
sub34,40098569,467860,475027,482899,460031,464666,416903,435577,387973
sub35,40100071,467860,475027,482919,460031,464666,416903,435616,388494
sub36,40202046,481528,480848,484131,460031,459777,415028,435616,419875
sub37,-,481528,480848,484131,460031,464666,416903,435616,419875
sub38,40202046,481528,480848,484131,460031,464666,416903,435616,419875
sub39,40203793,481528,480848,484070,458495,460465,411767,435304,420268
